county,race,education_level,percentage
SCAG,Asian/Pacific Islander,BA degree,35.74
SCAG,Black,BA degree,18.36
SCAG,Hispanic/Latino,BA degree,10.13
SCAG,Multiracial/Other,BA degree,28.69
SCAG,Native American,BA degree,13.89
SCAG,White,BA degree,28.1
SCAG,All Races,MA degree or higher,11.97
SCAG,Asian/Pacific Islander,MA degree or higher,18.31
SCAG,Black,MA degree or higher,10.78
SCAG,Hispanic/Latino,MA degree or higher,4.26
SCAG,Multiracial/Other,MA degree or higher,17.53
SCAG,Native American,MA degree or higher,6.5
SCAG,White,MA degree or higher,18.48
